,#,Coin,,Price,1h,24h,7d,30d,24h Volume,Market Cap,FDV,Market Cap / FDV,Last 7 Days
,1,Bitcoin                          BTC,Buy,"$78,069.94",0.2%,0.0%,11.1%,14.4%,"$54,209,425,696","$1,560,810,174,326","$1,560,810,174,326",1.0,
,2,Ethereum                          ETH,Buy,"$2,294.56",0.4%,2.3%,21.3%,26.8%,"$32,382,163,516","$277,175,326,702","$277,175,326,702",1.0,
,3,Tether                          USDT,,$0.9991,0.0%,0.0%,0.0%,0.0%,"$96,015,018,293","$185,193,152,550","$190,655,355,204",0.97,
,4,BNB                          BNB,Buy,$772.69,0.1%,0.6%,12.3%,13.0%,"$1,365,137,101","$105,404,109,711","$105,404,108,613",1.0,
,5,XRP                          XRP,Buy,$1.61,0.1%,1.2%,14.1%,23.4%,"$2,848,462,261","$98,006,586,877","$161,031,042,146",0.61,
,6,USDC                          USDC,,$0.9998,0.0%,0.0%,0.0%,0.0%,"$16,213,014,593","$70,620,417,179","$70,619,500,730",1.0,
,7,Solana                          SOL,Buy,$102.88,0.0%,0.7%,16.4%,23.4%,"$4,310,451,928","$58,340,580,884","$63,815,246,385",0.91,
,8,TRON                          TRX,Buy,$0.2831,0.1%,0.2%,3.5%,3.8%,"$659,743,551","$26,808,015,845","$26,808,001,201",1.0,
,9,Lido Staked Ether                          STETH,Buy,"$2,295.16",0.2%,1.9%,21.1%,26.8%,"$40,136,238","$22,029,050,170","$22,029,143,153",1.0,
,10,Dogecoin                          DOGE,Buy,$0.1079,0.2%,0.8%,11.2%,29.1%,"$1,271,475,308","$18,197,159,436","$18,201,805,228",1.0,
,11,Figure Heloc                          FIGR_HELOC,Buy,$1.03,0.0%,1.4%,0.2%,1.4%,"$7,673,179","$15,450,349,139","$15,450,349,139",1.0,
,12,Cardano                          ADA,Buy,$0.2992,0.2%,0.5%,14.0%,25.5%,"$524,731,532","$11,006,472,311","$13,463,540,042",0.82,
,13,WhiteBIT Coin                          WBT,Buy,$51.37,0.1%,0.4%,4.2%,10.8%,"$59,816,676","$10,972,321,913","$16,439,749,384",0.67,
,14,Bitcoin Cash                          BCH,Buy,$525.08,0.5%,0.9%,10.6%,18.1%,"$304,574,387","$10,499,326,992","$10,499,326,992",1.0,
,15,Wrapped stETH                          WSTETH,Buy,"$2,814.39",0.2%,0.5%,21.2%,26.6%,"$44,831,197","$10,101,836,354","$10,111,068,502",1.0,
,16,Wrapped Bitcoin                          WBTC,Buy,"$77,755.65",0.2%,0.2%,11.3%,14.6%,"$219,407,874","$9,561,163,877","$9,561,163,877",1.0,
,17,USDS                          USDS,,$0.9997,0.0%,0.0%,0.0%,0.0%,"$13,314,939","$9,224,002,392","$9,227,515,482",1.0,
,18,Binance Bridged USDT (BNB Smart Chain)                          BSC-USD,,$0.9990,0.0%,0.1%,0.0%,0.0%,"$691,994,099","$8,976,086,548","$8,976,086,548",1.0,
,19,Hyperliquid                          HYPE,Buy,$35.83,0.0%,9.8%,30.7%,42.0%,"$1,045,279,449","$8,538,372,661","$34,466,276,703",0.25,
,20,Wrapped Beacon ETH                          WBETH,Buy,"$2,497.27",0.2%,1.2%,21.1%,26.7%,"$15,655,077","$8,445,737,364","$8,445,737,365",1.0,
,21,LEO Token                          LEO,Buy,$8.73,1.1%,2.6%,5.6%,2.4%,"$2,261,659","$8,035,584,836","$8,589,599,925",0.94,
,22,Wrapped eETH                          WEETH,Buy,"$2,494.43",0.2%,0.9%,21.1%,26.7%,"$10,659,529","$7,485,600,954","$7,485,600,954",1.0,
,23,Canton                          CC,Buy,$0.1904,0.2%,5.8%,25.0%,26.2%,"$35,146,526","$7,159,252,603","$7,159,286,541",1.0,
,24,Monero                          XMR,Buy,$378.52,1.4%,7.8%,20.7%,13.0%,"$124,502,474","$6,981,614,178","$6,981,614,178",1.0,
,25,Chainlink                          LINK,Buy,$9.68,0.3%,0.4%,18.4%,28.2%,"$467,948,704","$6,866,109,740","$9,696,525,952",0.71,
,26,Ethena USDe                          USDE,,$0.9983,0.0%,0.0%,0.1%,0.1%,"$99,225,708","$6,535,282,504","$6,535,282,504",1.0,
,27,Coinbase Wrapped BTC                          CBBTC,Buy,"$78,194.14",0.1%,0.4%,11.0%,14.2%,"$348,014,445","$6,131,674,237","$6,131,674,237",1.0,
,28,Stellar                          XLM,Buy,$0.1770,0.3%,2.1%,13.5%,24.6%,"$114,118,669","$5,765,654,481","$8,854,761,489",0.65,
,29,WETH                          WETH,Buy,"$2,297.39",0.1%,1.6%,21.0%,26.8%,"$105,728,980","$5,148,665,194","$5,167,696,884",1.0,
,30,USD1                          USD1,,$1.00,0.0%,0.1%,0.1%,0.0%,"$2,244,665,625","$5,093,490,375","$5,113,796,320",1.0,
,31,Zcash                          ZEC,Buy,$285.71,0.3%,5.2%,24.4%,43.0%,"$400,929,145","$4,719,266,794","$4,719,266,794",1.0,
,32,Litecoin                          LTC,Buy,$60.03,0.2%,0.4%,12.7%,27.3%,"$400,663,469","$4,611,687,803","$4,611,691,180",1.0,
,33,Sui                          SUI,Buy,$1.14,0.2%,0.4%,19.9%,32.5%,"$643,509,008","$4,405,737,618","$11,454,862,169",0.38,
,34,Avalanche                          AVAX,Buy,$10.12,0.2%,0.0%,12.9%,28.4%,"$284,717,832","$4,371,987,704","$4,692,688,197",0.93,
,35,Dai                          DAI,Buy,$0.9995,0.1%,0.0%,0.0%,0.0%,"$60,479,536","$4,302,768,715","$4,302,768,715",1.0,
,36,USDT0                          USDT0,,$0.9984,0.1%,0.1%,0.0%,0.1%,"$307,606,622","$4,245,874,823","$4,248,285,291",1.0,
,37,sUSDS                          SUSDS,,$1.08,0.0%,0.0%,0.0%,0.2%,"$16,130,900","$4,241,093,895","$4,246,865,904",1.0,
,38,Shiba Inu                          SHIB,Buy,$0.056892,0.3%,0.9%,9.5%,22.0%,"$140,326,118","$4,064,609,633","$4,066,379,207",1.0,
,39,Hedera                          HBAR,Buy,$0.09148,0.1%,1.9%,13.1%,26.8%,"$108,653,073","$3,938,797,399","$4,579,662,696",0.86,
